"Reference","Quantity","Value","Digi-Key Part #"
"J1, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, ","18","3.5mm Jack","WM17366-ND"
"J3, ","1","Eurorack Power Cable","H3CCS-1618G-ND"
"KN1, ","1","CV Knob","1722-1241-ND"
"N1, N2, N3, N4, ","4","Nut","36-4687-ND"
"RV1, ","1","1K","PTV09A-4225F-B102-ND"
"SC1, SC3, SC5, SC7, ","4","Nylon Screw","36-29331-ND"
"SC2, SC4, SC6, SC8, ","4","Mounting Screw","335-1156-ND"
"SO1, SO2, SO3, SO4, ","4","Standoff 12mm","732-13063-ND"
"SO5, SO6, SO7, SO8, ","4","Standoff 15mm","732-13072-ND"
"TP1, TP2, ","2","TestPoint","36-5006-ND"
